index;origin;destination;slots;max_reach
1;2;3;3;3000
2;4;8;5;1500
3;4;8;5;1500
4;1;4;5;1500
5;1;4;5;1500
6;3;4;5;1500
7;3;4;5;1500
8;1;9;5;1500
9;1;9;5;1500
10;1;6;5;1500
11;1;6;5;1500
12;7;8;3;3000
13;6;8;6;600
14;4;2;6;600
15;6;9;6;600
16;3;4;5;1500
17;3;4;5;1500
18;2;5;5;1500
19;2;5;5;1500
20;4;6;5;1500
21;3;7;3;3000
22;3;4;5;1500
23;3;4;5;1500
24;3;8;3;3000
25;5;1;5;1500
26;5;1;5;1500
27;9;5;3;3000
28;6;5;3;3000
29;1;7;5;1500
30;5;8;3;3000
31;7;6;3;3000
32;1;6;5;1500
33;3;1;3;3000
34;1;2;5;1500
35;5;4;6;600
36;8;5;3;3000
37;2;5;5;1500
38;2;5;5;1500
39;5;1;5;1500
40;8;6;6;600
