index;origin;destination;slots;max_reach
1;4;1;5;1500
2;8;4;5;1500
3;6;3;5;1500
4;6;7;3;3000
5;1;5;3;3000
6;6;4;5;1500
7;9;2;5;1500
8;4;1;5;1500
9;2;7;3;3000
10;2;1;5;1500
11;2;9;5;1500
12;2;9;5;1500
13;9;6;6;600
14;3;4;3;3000
15;6;1;5;1500
16;9;5;5;1500
17;9;5;5;1500
18;6;1;5;1500
19;6;1;5;1500
20;1;4;5;1500
21;1;4;5;1500
22;5;8;6;600
23;7;9;5;1500
24;1;8;5;1500
25;1;8;5;1500
26;4;3;5;1500
27;6;3;3;3000
28;3;1;3;3000
29;8;2;5;1500
30;8;1;5;1500
31;6;9;5;1500
32;5;9;5;1500
33;1;4;3;3000
34;1;4;5;1500
35;7;6;6;600
36;3;8;5;1500
37;3;8;5;1500
38;1;7;5;1500
39;1;7;5;1500
40;5;6;5;1500
