index;source;destination;slots;max_length
1;3;2;6;600
2;3;4;6;600
3;4;3;3;3000
4;2;4;4;1500
5;5;1;5;1500
6;3;2;5;1500
7;4;1;4;1500
8;1;2;6;600
9;2;4;4;1500
10;3;1;5;1500
11;1;2;3;3000
12;3;5;5;1500
13;2;1;6;600
14;2;3;3;3000
15;3;1;4;1500
16;1;2;3;3000
17;4;1;5;1500
18;4;2;5;1500
19;5;3;5;1500
20;4;3;3;3000
21;5;2;6;600
22;4;1;5;1500
23;1;2;5;1500
24;4;3;6;600
25;3;4;5;1500
26;1;2;6;600
27;5;3;5;1500
28;3;4;6;600
29;5;4;3;3000
30;4;3;4;1500
31;4;3;4;1500
32;1;2;6;600
33;1;2;6;600
34;1;2;6;600
35;5;3;5;1500
36;2;1;6;600
37;2;5;4;1500
38;4;5;4;1500
39;5;4;3;3000
40;3;2;6;600
41;1;2;5;1500
42;4;1;4;1500
43;5;4;3;3000
44;4;1;3;3000
45;4;3;4;1500
46;4;2;4;1500
47;4;3;6;600
48;4;5;3;3000
49;2;3;4;1500
50;2;3;5;1500
51;3;1;5;1500
52;5;3;5;1500
53;4;1;4;1500
54;5;2;5;1500
55;2;5;5;1500
56;1;2;4;1500
57;2;3;3;3000
58;4;3;4;1500
59;2;3;4;1500
60;5;4;5;1500
61;5;2;3;3000
62;1;2;4;1500
63;4;3;3;3000
64;2;5;3;3000
65;4;3;5;1500
66;5;2;3;3000
67;3;2;6;600
68;4;3;3;3000
69;1;2;6;600
70;5;2;5;1500
71;1;2;5;1500
72;2;4;6;600
73;1;2;3;3000
74;3;2;5;1500
75;5;3;6;600
76;1;2;5;1500
77;1;2;5;1500
78;5;1;3;3000
79;4;2;3;3000
80;5;4;4;1500
81;2;3;5;1500
82;4;1;4;1500
83;1;2;4;1500
84;1;2;3;3000
85;5;2;5;1500
86;2;5;4;1500
87;2;4;6;600
88;1;2;3;3000
89;3;1;4;1500
90;5;4;3;3000
91;2;3;5;1500
92;1;2;6;600
93;1;2;3;3000
94;1;2;3;3000
95;4;2;6;600
96;4;5;5;1500
97;5;3;6;600
98;2;3;6;600
