index;origin;destination;slots;max_reach
1;6;2;3;3000
2;7;5;6;600
3;1;7;3;3000
4;3;6;3;3000
5;6;9;5;1500
6;2;3;3;3000
7;2;9;5;1500
8;2;8;5;1500
9;6;1;5;1500
10;6;1;5;1500
11;3;6;3;3000
12;4;1;5;1500
13;4;1;5;1500
14;1;9;5;1500
15;1;9;5;1500
16;6;7;3;3000
17;2;1;3;3000
18;8;2;3;3000
19;5;1;5;1500
20;2;5;3;3000
21;4;5;3;3000
22;3;2;5;1500
23;8;3;3;3000
24;7;4;6;600
25;6;4;3;3000
26;5;1;3;3000
27;3;2;5;1500
28;2;3;5;1500
29;5;9;5;1500
30;2;9;3;3000
31;6;5;5;1500
32;3;1;3;3000
33;9;3;5;1500
34;9;3;5;1500
35;9;2;5;1500
36;9;2;5;1500
37;8;7;3;3000
38;4;2;5;1500
39;2;5;5;1500
40;2;5;5;1500
41;4;2;3;3000
42;3;7;3;3000
43;4;9;5;1500
44;5;8;5;1500
45;4;9;5;1500
46;6;9;3;3000
47;3;6;5;1500
48;2;8;5;1500
49;2;8;5;1500
50;5;2;3;3000
51;3;8;5;1500
52;5;8;6;600
53;8;2;5;1500
54;8;2;5;1500
55;8;5;3;3000
56;3;5;5;1500
57;4;7;5;1500
58;6;9;5;1500
59;8;7;5;1500
60;7;1;3;3000
61;6;9;3;3000
62;9;8;6;600
63;4;5;3;3000
64;3;1;3;3000
65;5;7;3;3000
66;5;9;5;1500
67;5;4;5;1500
68;2;7;5;1500
69;2;7;5;1500
70;9;6;3;3000
71;4;7;3;3000
72;4;6;3;3000
73;9;3;5;1500
74;8;7;5;1500
75;2;7;3;3000
76;3;4;3;3000
77;8;1;3;3000
78;2;8;5;1500
79;2;8;5;1500
80;4;1;5;1500
81;4;1;5;1500
82;9;8;6;600
83;5;8;3;3000
84;2;6;5;1500
85;2;6;5;1500
86;6;8;5;1500
87;6;2;3;3000
88;4;8;5;1500
89;4;8;5;1500
90;8;3;5;1500
91;7;5;6;600
92;8;5;5;1500
93;9;4;5;1500
94;9;4;5;1500
95;9;6;3;3000
96;2;9;3;3000
97;9;6;5;1500
98;7;1;5;1500
99;7;1;5;1500
100;6;3;5;1500
101;3;4;3;3000
102;2;3;3;3000
103;1;8;3;3000
104;6;2;5;1500
105;1;5;3;3000
106;7;8;6;600
107;1;5;5;1500
108;1;5;5;1500
109;5;6;3;3000
110;8;2;5;1500
111;3;8;5;1500
112;3;8;5;1500
113;5;8;6;600
114;5;8;5;1500
115;2;8;5;1500
116;4;6;3;3000
117;5;8;3;3000
118;3;1;6;600
119;2;3;3;3000
120;7;4;6;600
121;5;4;5;1500
122;1;3;5;1500
123;7;6;6;600
124;6;9;5;1500
125;6;9;6;600
126;5;9;5;1500
127;7;1;3;3000
128;4;6;6;600
129;3;5;5;1500
130;6;1;5;1500
131;7;3;5;1500
132;2;9;5;1500
133;2;7;5;1500
134;2;7;5;1500
135;5;7;3;3000
136;2;8;3;3000
137;6;8;6;600
138;6;8;5;1500
139;4;8;5;1500
140;4;8;5;1500
141;2;7;3;3000
142;8;6;5;1500
143;4;6;3;3000
144;4;5;3;3000
145;5;1;5;1500
146;5;1;5;1500
147;5;9;3;3000
148;6;4;3;3000
149;4;7;6;600
150;3;4;5;1500
151;7;5;3;3000
152;9;6;3;3000
153;7;4;6;600
154;8;2;5;1500
155;8;2;5;1500
156;8;4;5;1500
157;8;4;5;1500
158;9;1;5;1500
159;9;1;5;1500
160;9;7;6;600
161;4;3;5;1500
162;4;3;5;1500
163;8;7;3;3000
164;4;3;5;1500
165;4;3;5;1500
166;7;2;5;1500
167;9;1;3;3000
168;1;6;3;3000
169;7;9;6;600
170;1;3;5;1500
171;3;8;5;1500
172;3;8;5;1500
173;6;8;3;3000
174;3;7;3;3000
175;1;3;5;1500
176;1;6;3;3000
177;6;9;3;3000
178;9;1;3;3000
179;9;7;5;1500
180;2;1;6;600
