Iter  | Wout Imp | Green It | Nb Yello | Nb Red I | LB         | Lagr Cost | Real Cost | Primal Co | UB     | Step   | Lambda   | Alpha    | Feasibility | Time      | 
1     | 0        | 1        | 0        | 0        | 190.000000 | 190.00000 | 190.00000 | 190.00000 | 834.00 | 0.0000 | 2.000000 | 0.100000 | NO          | 0.578631  | 
2     | 0        | 1        | 0        | 0        | 197.491082 | 197.49108 | 190.00000 | 190.00000 | 834.00 | 0.0062 | 2.000000 | 0.100000 | NO          | 0.598348  | 
3     | 0        | 1        | 0        | 0        | 206.030423 | 206.03042 | 190.00000 | 190.00000 | 834.00 | 0.0066 | 2.000000 | 0.100000 | NO          | 0.599988  | 
4     | 0        | 1        | 0        | 0        | 215.566403 | 215.56640 | 190.00000 | 190.00000 | 834.00 | 0.0069 | 2.000000 | 0.100000 | NO          | 0.601651  | 
5     | 0        | 1        | 0        | 0        | 226.062560 | 226.06256 | 190.00000 | 190.00000 | 834.00 | 0.0073 | 2.000000 | 0.100000 | NO          | 0.603413  | 
6     | 0        | 1        | 0        | 0        | 237.096513 | 237.09651 | 190.00000 | 190.00000 | 834.00 | 0.0077 | 2.000000 | 0.100000 | NO          | 0.606806  | 
7     | 0        | 1        | 0        | 0        | 248.531563 | 248.53156 | 193.00000 | 190.30000 | 834.00 | 0.0080 | 2.000000 | 0.100000 | NO          | 0.609791  | 
8     | 0        | 1        | 0        | 0        | 259.569191 | 259.56919 | 205.00000 | 191.77000 | 834.00 | 0.0085 | 2.000000 | 0.100000 | NO          | 0.613411  | 
9     | 0        | 1        | 0        | 0        | 269.638584 | 269.63858 | 208.00000 | 193.39300 | 834.00 | 0.0090 | 2.000000 | 0.100000 | NO          | 0.616185  | 
10    | 0        | 1        | 0        | 0        | 278.771362 | 278.77136 | 217.00000 | 195.75370 | 834.00 | 0.0096 | 2.000000 | 0.100000 | NO          | 0.618605  | 
11    | 0        | 1        | 0        | 0        | 287.632322 | 287.63232 | 225.00000 | 198.67833 | 834.00 | 0.0102 | 2.000000 | 0.100000 | NO          | 0.620734  | 
12    | 0        | 1        | 0        | 0        | 295.160326 | 295.16032 | 238.00000 | 202.61049 | 834.00 | 0.0109 | 2.000000 | 0.100000 | NO          | 0.622789  | 
13    | 0        | 1        | 0        | 0        | 300.248520 | 300.24852 | 265.00000 | 208.84944 | 834.00 | 0.0117 | 2.000000 | 0.100000 | NO          | 0.625147  | 
14    | 0        | 1        | 0        | 0        | 306.806777 | 306.80677 | 265.00000 | 214.46450 | 834.00 | 0.0146 | 2.000000 | 0.100000 | NO          | 0.628075  | 
15    | 0        | 1        | 0        | 0        | 314.162821 | 314.16282 | 271.00000 | 220.11805 | 834.00 | 0.0164 | 2.000000 | 0.100000 | NO          | 0.630751  | 
16    | 0        | 1        | 0        | 0        | 321.793946 | 321.79394 | 280.00000 | 226.10624 | 834.00 | 0.0177 | 2.000000 | 0.100000 | NO          | 0.633291  | 
17    | 0        | 1        | 0        | 0        | 330.987239 | 330.98723 | 286.00000 | 232.09562 | 834.00 | 0.0188 | 2.000000 | 0.100000 | NO          | 0.635553  | 
18    | 0        | 1        | 0        | 0        | 340.181158 | 340.18115 | 297.00000 | 238.58606 | 834.00 | 0.0186 | 2.000000 | 0.100000 | NO          | 0.638057  | 
19    | 0        | 1        | 0        | 0        | 349.010099 | 349.01009 | 306.00000 | 245.32745 | 834.00 | 0.0185 | 2.000000 | 0.100000 | NO          | 0.640330  | 
20    | 0        | 1        | 0        | 0        | 358.636391 | 358.63639 | 310.00000 | 251.79470 | 834.00 | 0.0189 | 2.000000 | 0.100000 | NO          | 0.641913  | 
21    | 0        | 1        | 0        | 0        | 368.089047 | 368.08904 | 324.00000 | 257.90998 | 834.00 | 0.0187 | 2.000000 | 0.100000 | NO          | 0.643502  | 
22    | 0        | 1        | 0        | 0        | 376.161685 | 376.16168 | 327.00000 | 264.81899 | 834.00 | 0.0188 | 2.000000 | 0.100000 | NO          | 0.645022  | 
23    | 0        | 1        | 0        | 0        | 384.220594 | 384.22059 | 338.00000 | 272.13709 | 834.00 | 0.0209 | 2.000000 | 0.100000 | NO          | 0.646529  | 
24    | 0        | 1        | 0        | 0        | 393.074556 | 393.07455 | 334.00000 | 278.32338 | 834.00 | 0.0232 | 2.000000 | 0.100000 | NO          | 0.648025  | 
25    | 0        | 1        | 0        | 0        | 400.323033 | 400.32303 | 347.00000 | 285.19104 | 834.00 | 0.0250 | 2.000000 | 0.100000 | NO          | 0.649572  | 
26    | 0        | 1        | 0        | 0        | 406.625677 | 406.62567 | 373.00000 | 293.97194 | 834.00 | 0.0290 | 2.000000 | 0.100000 | NO          | 0.651159  | 
27    | 0        | 1        | 0        | 0        | 414.396534 | 414.39653 | 366.00000 | 301.17474 | 834.00 | 0.0348 | 2.000000 | 0.100000 | NO          | 0.652665  | 
28    | 0        | 1        | 0        | 0        | 420.383087 | 420.38308 | 364.00000 | 307.45727 | 834.00 | 0.0268 | 2.000000 | 0.100000 | NO          | 0.654172  | 
29    | 0        | 1        | 0        | 0        | 427.403290 | 427.40329 | 379.00000 | 314.61154 | 834.00 | 0.0330 | 2.000000 | 0.100000 | NO          | 0.655686  | 
30    | 0        | 1        | 0        | 0        | 434.930562 | 434.93056 | 381.00000 | 321.25039 | 834.00 | 0.0386 | 2.000000 | 0.100000 | NO          | 0.657209  | 
31    | 0        | 1        | 0        | 0        | 441.180823 | 441.18082 | 387.00000 | 327.82535 | 834.00 | 0.0302 | 2.000000 | 0.100000 | NO          | 0.658656  | 
32    | 0        | 1        | 0        | 0        | 448.311307 | 448.31130 | 391.00000 | 334.14281 | 834.00 | 0.0369 | 2.000000 | 0.100000 | NO          | 0.660148  | 
33    | 0        | 1        | 0        | 0        | 455.011840 | 455.01184 | 396.00000 | 340.32853 | 834.00 | 0.0432 | 2.000000 | 0.100000 | NO          | 0.661549  | 
34    | 0        | 1        | 0        | 0        | 460.075347 | 460.07534 | 399.00000 | 346.19568 | 834.00 | 0.0355 | 2.000000 | 0.100000 | NO          | 0.663147  | 
35    | 0        | 1        | 0        | 0        | 467.379240 | 467.37924 | 398.00000 | 351.37611 | 834.00 | 0.0449 | 2.000000 | 0.100000 | NO          | 0.664734  | 
36    | 0        | 1        | 0        | 0        | 472.802232 | 472.80223 | 393.00000 | 355.53850 | 834.00 | 0.0363 | 2.000000 | 0.100000 | NO          | 0.666353  | 
37    | 0        | 1        | 0        | 0        | 478.827056 | 478.82705 | 404.00000 | 360.38465 | 834.00 | 0.0458 | 2.000000 | 0.100000 | NO          | 0.667825  | 
38    | 0        | 1        | 0        | 0        | 484.365589 | 484.36558 | 409.00000 | 365.20777 | 834.00 | 0.0383 | 2.000000 | 0.100000 | NO          | 0.669315  | 
39    | 0        | 1        | 0        | 0        | 490.026677 | 490.02667 | 394.00000 | 368.08699 | 834.00 | 0.0481 | 2.000000 | 0.100000 | NO          | 0.670741  | 
40    | 0        | 1        | 0        | 0        | 494.232351 | 494.23235 | 403.00000 | 371.57829 | 834.00 | 0.0412 | 2.000000 | 0.100000 | NO          | 0.672160  | 
41    | 0        | 1        | 0        | 0        | 498.405180 | 498.40518 | 447.00000 | 379.12046 | 834.00 | 0.0359 | 2.000000 | 0.100000 | NO          | 0.673544  | 
42    | 0        | 1        | 0        | 0        | 502.952955 | 502.95295 | 455.00000 | 385.89627 | 834.00 | 0.0485 | 2.000000 | 0.100000 | NO          | 0.674933  | 
43    | 0        | 1        | 0        | 0        | 507.662691 | 507.66269 | 456.00000 | 390.32313 | 834.00 | 0.0425 | 2.000000 | 0.100000 | NO          | 0.676422  | 
44    | 0        | 1        | 0        | 0        | 511.306407 | 511.30640 | 454.00000 | 396.69082 | 834.00 | 0.0547 | 2.000000 | 0.100000 | NO          | 0.677870  | 
45    | 0        | 1        | 0        | 0        | 515.363766 | 515.36376 | 456.00000 | 400.49379 | 834.00 | 0.0505 | 2.000000 | 0.100000 | NO          | 0.679410  | 
46    | 0        | 1        | 0        | 0        | 518.015351 | 518.01535 | 460.00000 | 406.44441 | 834.00 | 0.0450 | 2.000000 | 0.100000 | NO          | 0.680940  | 
47    | 0        | 1        | 0        | 0        | 520.164783 | 520.16478 | 470.00000 | 411.72302 | 834.00 | 0.0419 | 2.000000 | 0.100000 | NO          | 0.682451  | 
48    | 0        | 1        | 0        | 0        | 525.164240 | 525.16424 | 511.00000 | 414.38388 | 834.00 | 0.0590 | 2.000000 | 0.100000 | NO          | 0.683912  | 
49    | 0        | 1        | 0        | 0        | 528.154429 | 528.15442 | 509.00000 | 423.37674 | 834.00 | 0.0517 | 2.000000 | 0.100000 | NO          | 0.685390  | 
50    | 0        | 1        | 0        | 0        | 530.866816 | 530.86681 | 490.00000 | 428.95770 | 834.00 | 0.0479 | 2.000000 | 0.100000 | NO          | 0.686833  | 
51    | 0        | 1        | 0        | 0        | 534.131323 | 534.13132 | 492.00000 | 431.66320 | 834.00 | 0.0442 | 2.000000 | 0.100000 | NO          | 0.688297  | 
52    | 0        | 1        | 0        | 0        | 536.629820 | 536.62982 | 508.00000 | 438.87996 | 834.00 | 0.0603 | 2.000000 | 0.100000 | NO          | 0.689848  | 
53    | 0        | 1        | 0        | 0        | 539.648065 | 539.64806 | 518.00000 | 443.78716 | 834.00 | 0.0570 | 2.000000 | 0.100000 | NO          | 0.691341  | 
54    | 0        | 1        | 0        | 0        | 542.823900 | 542.82390 | 506.00000 | 447.26884 | 834.00 | 0.0527 | 2.000000 | 0.100000 | NO          | 0.692795  | 
55    | 0        | 1        | 0        | 0        | 545.835589 | 545.83558 | 527.00000 | 452.98059 | 834.00 | 0.0480 | 2.000000 | 0.100000 | NO          | 0.694214  | 
56    | 0        | 1        | 0        | 0        | 548.127860 | 548.12786 | 531.00000 | 457.97199 | 834.00 | 0.0437 | 2.000000 | 0.100000 | NO          | 0.695704  | 
57    | 0        | 1        | 0        | 0        | 550.233167 | 550.23316 | 534.00000 | 464.39947 | 834.00 | 0.0622 | 2.000000 | 0.100000 | NO          | 0.697248  | 
58    | 0        | 1        | 0        | 0        | 552.751144 | 552.75114 | 499.00000 | 466.90739 | 834.00 | 0.0595 | 2.000000 | 0.100000 | NO          | 0.698714  | 
59    | 0        | 1        | 0        | 0        | 555.488238 | 555.48823 | 502.00000 | 468.18914 | 834.00 | 0.0558 | 2.000000 | 0.100000 | NO          | 0.700179  | 
60    | 0        | 1        | 0        | 0        | 556.840769 | 556.84076 | 544.00000 | 477.12696 | 834.00 | 0.0516 | 2.000000 | 0.100000 | NO          | 0.701633  | 
61    | 0        | 1        | 0        | 0        | 558.951099 | 558.95109 | 451.00000 | 475.04744 | 834.00 | 0.0501 | 2.000000 | 0.100000 | NO          | 0.703142  | 
62    | 0        | 1        | 0        | 0        | 560.697161 | 560.69716 | 550.00000 | 481.26948 | 834.00 | 0.0469 | 2.000000 | 0.100000 | NO          | 0.704583  | 
63    | 0        | 1        | 0        | 0        | 562.348770 | 562.34877 | 520.00000 | 485.35636 | 834.00 | 0.0675 | 2.000000 | 0.100000 | NO          | 0.705986  | 
64    | 0        | 1        | 0        | 0        | 564.230605 | 564.23060 | 533.00000 | 490.15705 | 834.00 | 0.0654 | 2.000000 | 0.100000 | NO          | 0.707373  | 
65    | 0        | 1        | 0        | 0        | 565.979802 | 565.97980 | 443.00000 | 485.01862 | 834.00 | 0.0625 | 2.000000 | 0.100000 | NO          | 0.708780  | 
66    | 0        | 1        | 0        | 0        | 568.378991 | 568.37899 | 477.00000 | 484.56934 | 834.00 | 0.0599 | 2.000000 | 0.100000 | NO          | 0.710423  | 
67    | 0        | 1        | 0        | 0        | 570.450456 | 570.45045 | 491.00000 | 485.00930 | 834.00 | 0.0560 | 2.000000 | 0.100000 | NO          | 0.711995  | 
68    | 0        | 1        | 0        | 0        | 571.634876 | 571.63487 | 562.00000 | 494.34121 | 834.00 | 0.0527 | 2.000000 | 0.100000 | NO          | 0.713534  | 
