Iter  | Wout Imp | LB         | Lagr Cost | Real Cost | UB     | Step   | Lambda   | Feasibility | Time      | 
1     | 0        | 35420.0000 | 35420.000 | 35420.000 | 70665. | 0.0000 | 2.000000 | NO          | 0.182144  | 
2     | 1        | 35420.0000 | 23169.618 | 35420.000 | 70665. | 49.198 | 2.000000 | NO          | 0.216326  | 
3     | 2        | 35420.0000 | 11064.928 | 35420.000 | 39358. | 71.166 | 2.000000 | NO          | 0.234645  | 
4     | 3        | 35420.0000 | 7455.9243 | 35508.000 | 39204. | 26.407 | 2.000000 | NO          | 0.247613  | 
5     | 4        | 35420.0000 | 7706.0343 | 36036.000 | 38368. | 25.908 | 2.000000 | NO          | 0.258520  | 
6     | 5        | 35420.0000 | 8137.9670 | 36322.000 | 38368. | 27.679 | 2.000000 | NO          | 0.260492  | 
7     | 6        | 35420.0000 | 10326.661 | 36751.000 | 38368. | 37.084 | 2.000000 | NO          | 0.262430  | 
8     | 7        | 35420.0000 | 9528.9373 | 36729.000 | 38368. | 28.436 | 2.000000 | NO          | 0.264315  | 
9     | 8        | 35420.0000 | 9885.2386 | 36905.000 | 38368. | 23.339 | 2.000000 | NO          | 0.266277  | 
10    | 9        | 35420.0000 | 11329.213 | 38467.000 | 38368. | 30.472 | 2.000000 | NO          | 0.268189  | 
11    | 10       | 35420.0000 | 11250.289 | 39435.000 | 38368. | 27.510 | 2.000000 | NO          | 0.270067  | 
12    | 11       | 35420.0000 | 10894.024 | 37961.000 | 38368. | 31.336 | 2.000000 | NO          | 0.272240  | 
13    | 12       | 35420.0000 | 12515.895 | 38379.000 | 38368. | 30.757 | 2.000000 | NO          | 0.274759  | 
14    | 13       | 35420.0000 | 12718.560 | 37213.000 | 38368. | 28.241 | 2.000000 | NO          | 0.276827  | 
15    | 14       | 35420.0000 | 13800.425 | 36949.000 | 38368. | 23.543 | 2.000000 | NO          | 0.280079  | 
16    | 15       | 35420.0000 | 13913.134 | 37323.000 | 38368. | 22.580 | 2.000000 | NO          | 0.283039  | 
17    | 16       | 35420.0000 | 13273.378 | 36311.000 | 38368. | 26.583 | 2.000000 | NO          | 0.286227  | 
18    | 17       | 35420.0000 | 11735.984 | 35805.000 | 38368. | 19.426 | 2.000000 | NO          | 0.288464  | 
19    | 18       | 35420.0000 | 14294.551 | 37763.000 | 38368. | 20.752 | 2.000000 | NO          | 0.290673  | 
20    | 19       | 35420.0000 | 15433.660 | 37895.000 | 38368. | 26.632 | 2.000000 | NO          | 0.292772  | 
21    | 20       | 35420.0000 | 15918.859 | 37631.000 | 38368. | 21.220 | 2.000000 | NO          | 0.294754  | 
22    | 21       | 35420.0000 | 16152.541 | 36355.000 | 38368. | 20.854 | 2.000000 | NO          | 0.296589  | 
23    | 22       | 35420.0000 | 16818.758 | 37543.000 | 38368. | 18.523 | 2.000000 | NO          | 0.298530  | 
24    | 23       | 35420.0000 | 18272.290 | 37609.000 | 38368. | 19.872 | 2.000000 | NO          | 0.300432  | 
25    | 24       | 35420.0000 | 16714.382 | 36003.000 | 38368. | 22.631 | 2.000000 | NO          | 0.302337  | 
26    | 25       | 35420.0000 | 16904.716 | 36883.000 | 38368. | 15.710 | 2.000000 | NO          | 0.304457  | 
27    | 1        | 35420.0000 | 20123.820 | 37829.000 | 38368. | 10.273 | 1.000000 | NO          | 0.306847  | 
28    | 2        | 35420.0000 | 21275.795 | 37763.000 | 38368. | 8.7183 | 1.000000 | NO          | 0.310116  | 
29    | 3        | 35420.0000 | 22718.942 | 37609.000 | 38368. | 8.2905 | 1.000000 | NO          | 0.312668  | 
30    | 4        | 35420.0000 | 24109.597 | 37895.000 | 38368. | 7.9046 | 1.000000 | NO          | 0.354282  | 
31    | 5        | 35420.0000 | 24952.355 | 38115.000 | 38368. | 7.7509 | 1.000000 | NO          | 0.356312  | 
32    | 6        | 35420.0000 | 26340.658 | 37499.000 | 38368. | 8.1323 | 1.000000 | NO          | 0.358514  | 
33    | 7        | 35420.0000 | 27421.257 | 37983.000 | 38368. | 7.3304 | 1.000000 | NO          | 0.361512  | 
34    | 8        | 35420.0000 | 28188.913 | 37389.000 | 38368. | 5.8673 | 1.000000 | NO          | 0.364323  | 
35    | 9        | 35420.0000 | 29285.746 | 37763.000 | 38368. | 5.5539 | 1.000000 | NO          | 0.367101  | 
36    | 10       | 35420.0000 | 29354.665 | 37147.000 | 38368. | 4.8216 | 1.000000 | NO          | 0.369231  | 
