Iter  | Wout Imp | LB         | Lagr Cost | Real Cost | UB     | Step   | Lambda   | Feasibility | Time      | 
1     | 0        | 50.000000  | 50.000000 | 50.000000 | 82.000 | 0.0000 | 2.000000 | NO          | 4.981550  | 
2     | 0        | 50.288038  | 50.288038 | 50.000000 | 82.000 | 0.0411 | 2.000000 | NO          | 6.249100  | 
3     | 0        | 50.603438  | 50.603438 | 50.000000 | 82.000 | 0.0371 | 2.000000 | NO          | 7.426503  | 
4     | 0        | 54.287076  | 54.287076 | 50.000000 | 82.000 | 0.0391 | 2.000000 | NO          | 8.588197  | 
5     | 0        | 55.609528  | 55.609528 | 50.000000 | 82.000 | 0.0356 | 2.000000 | NO          | 9.761900  | 
6     | 1        | 55.609528  | 54.970988 | 50.000000 | 82.000 | 0.0308 | 2.000000 | NO          | 10.942464 | 
7     | 0        | 58.197918  | 58.197918 | 50.000000 | 82.000 | 0.0334 | 2.000000 | NO          | 12.109084 | 
8     | 0        | 59.464377  | 59.464377 | 50.000000 | 82.000 | 0.0306 | 2.000000 | NO          | 13.267160 | 
9     | 0        | 59.656674  | 59.656674 | 50.000000 | 82.000 | 0.0277 | 2.000000 | NO          | 14.446221 | 
10    | 0        | 61.520098  | 61.520098 | 59.000000 | 82.000 | 0.0282 | 2.000000 | NO          | 15.634782 | 
