index;origin;destination;slots;max_reach
1;8;4;5;1500
2;3;9;5;1500
3;6;8;5;1500
4;6;3;5;1500
5;8;1;3;3000
6;2;6;5;1500
7;5;8;5;1500
8;9;8;6;600
9;3;8;5;1500
10;5;9;5;1500
11;5;9;5;1500
12;2;4;5;1500
13;9;1;5;1500
14;7;6;5;1500
15;8;2;5;1500
16;8;2;5;1500
17;3;1;6;600
18;2;1;6;600
19;9;4;5;1500
20;9;4;5;1500
21;9;4;5;1500
22;9;7;5;1500
23;4;8;3;3000
24;4;5;6;600
25;2;1;6;600
26;4;5;6;600
27;8;4;5;1500
28;8;4;5;1500
29;2;9;5;1500
30;2;3;3;3000
31;3;4;3;3000
32;6;2;3;3000
33;8;7;5;1500
34;5;9;3;3000
35;9;7;5;1500
36;4;3;5;1500
37;4;3;5;1500
38;9;8;3;3000
39;3;5;6;600
40;3;9;5;1500
