index;origin;destination;slots;max_reach
1;8;3;5;1500
2;4;3;3;3000
3;6;1;5;1500
4;6;1;5;1500
5;7;4;3;3000
6;3;4;3;3000
7;4;7;6;600
8;8;1;5;1500
9;2;4;3;3000
10;2;7;3;3000
11;6;2;5;1500
12;2;1;3;3000
13;9;3;5;1500
14;9;3;5;1500
15;4;6;6;600
16;8;4;5;1500
17;3;2;5;1500
18;8;4;3;3000
19;5;7;5;1500
20;6;8;5;1500
21;6;7;3;3000
22;6;8;5;1500
23;4;6;5;1500
24;8;7;6;600
25;1;2;6;600
26;3;4;5;1500
27;3;4;5;1500
28;2;6;3;3000
29;1;4;5;1500
30;1;4;5;1500
31;5;8;6;600
32;5;4;3;3000
33;3;9;3;3000
34;1;7;5;1500
35;9;4;3;3000
36;8;7;3;3000
37;6;3;5;1500
38;6;7;6;600
39;9;6;3;3000
40;5;7;6;600
