index;origin;destination;slots;max_reach
1;3;5;3;3000
2;7;5;5;1500
3;7;5;5;1500
4;1;9;3;3000
5;2;7;5;1500
6;2;7;5;1500
7;6;1;3;3000
8;9;7;6;600
9;5;1;3;3000
10;8;6;3;3000
11;6;9;6;600
12;9;5;3;3000
13;2;7;3;3000
14;6;2;5;1500
15;6;2;5;1500
16;7;9;6;600
17;3;1;6;600
18;1;6;5;1500
19;7;8;5;1500
20;7;4;6;600
21;9;8;5;1500
22;6;8;6;600
23;6;3;3;3000
24;6;8;5;1500
25;2;3;6;600
26;2;4;6;600
27;3;1;3;3000
28;7;9;5;1500
29;5;2;3;3000
30;4;7;6;600
31;3;1;3;3000
32;8;6;6;600
33;5;7;6;600
34;9;1;5;1500
35;4;3;5;1500
36;4;3;5;1500
37;7;6;5;1500
38;1;6;5;1500
39;6;5;6;600
40;8;3;5;1500
