index;source;destination;slots;max_length
1;6;3;5;1500
2;5;6;6;600
3;8;9;4;1500
4;7;3;3;3000
5;2;9;3;3000
6;6;4;3;3000
7;2;5;6;600
8;2;9;4;1500
9;9;7;3;3000
10;7;1;3;3000
11;9;2;6;600
12;3;5;4;1500
13;6;8;6;600
14;3;5;4;1500
15;4;3;3;3000
16;8;3;3;3000
17;6;3;3;3000
18;6;7;5;1500
19;3;2;3;3000
20;5;2;4;1500
21;7;1;6;600
22;3;8;5;1500
23;1;3;6;600
24;5;6;4;1500
25;7;6;6;600
26;6;2;5;1500
27;5;8;6;600
28;1;3;4;1500
29;5;8;3;3000
30;6;3;4;1500
31;5;6;5;1500
32;9;2;6;600
33;8;2;5;1500
34;4;6;4;1500
35;2;6;6;600
36;6;8;3;3000
37;6;2;4;1500
38;5;9;5;1500
39;2;8;6;600
40;8;2;6;600
41;8;5;6;600
42;5;6;4;1500
43;2;4;6;600
44;5;4;4;1500
45;8;3;3;3000
46;6;4;3;3000
47;3;7;4;1500
48;5;1;6;600
49;8;5;4;1500
50;3;6;5;1500
51;4;1;3;3000
52;8;7;6;600
53;1;5;6;600
54;6;1;3;3000
55;4;2;6;600
56;5;2;6;600
57;7;6;4;1500
58;1;2;3;3000
59;7;9;3;3000
60;2;1;3;3000
61;9;6;3;3000
62;2;1;3;3000
63;7;8;6;600
64;9;5;5;1500
65;5;9;6;600
66;1;2;6;600
67;8;1;3;3000
68;6;7;3;3000
69;2;9;4;1500
70;5;4;3;3000
71;8;9;3;3000
72;9;4;5;1500
73;5;3;3;3000
74;5;9;6;600
75;8;1;6;600
76;3;5;6;600
77;7;6;5;1500
78;3;4;5;1500
79;7;4;4;1500
80;2;6;3;3000
81;8;3;6;600
82;6;4;3;3000
83;8;2;5;1500
84;9;6;4;1500
85;9;1;6;600
86;3;9;3;3000
87;9;3;3;3000
88;6;3;5;1500
89;7;8;5;1500
90;9;6;4;1500
91;4;6;3;3000
92;2;3;5;1500
93;4;3;6;600
94;2;8;6;600
95;7;3;4;1500
96;5;8;4;1500
97;3;8;4;1500
98;4;2;6;600
99;6;5;3;3000
100;4;9;5;1500
101;4;8;6;600
102;9;2;6;600
103;3;4;5;1500
