index;origin;destination;slots;max_reach
1;9;6;5;1500
2;2;1;5;1500
3;1;3;6;600
4;6;7;5;1500
5;8;2;5;1500
6;1;5;5;1500
7;1;5;5;1500
8;1;2;6;600
9;7;4;5;1500
10;9;3;5;1500
11;9;3;5;1500
12;1;6;3;3000
13;5;9;5;1500
14;4;9;5;1500
15;6;4;5;1500
16;8;9;6;600
17;8;4;3;3000
18;8;2;5;1500
19;8;2;5;1500
20;2;3;3;3000
21;2;1;3;3000
22;6;5;5;1500
23;6;9;3;3000
24;1;2;5;1500
25;7;5;6;600
26;8;5;3;3000
27;7;6;6;600
28;2;4;5;1500
29;1;8;3;3000
30;9;2;5;1500
31;7;2;3;3000
32;2;9;3;3000
33;3;4;3;3000
34;8;2;3;3000
35;8;4;5;1500
36;8;4;5;1500
37;8;9;3;3000
38;2;9;5;1500
39;3;1;3;3000
40;5;3;6;600
