index;origin;destination;slots;max_reach
1;72;46;4;1500;
2;96;31;3;600;
3;48;81;5;1500;
4;42;19;3;600;
5;3;18;3;600;
6;84;32;5;1500;
7;19;67;6;3000;
8;95;115;5;1500;
9;76;62;6;3000;
10;23;118;3;600;
11;22;65;4;1500;
12;31;97;3;600;
13;35;20;3;600;
14;114;61;5;1500;
15;106;123;6;3000;
16;75;83;6;3000;
17;9;37;4;1500;
18;108;67;6;3000;
19;50;18;3;600;
20;114;100;4;1500;
21;78;57;5;1500;
22;23;88;5;1500;
23;59;122;4;1500;
24;112;47;4;1500;
25;58;89;6;3000;
26;22;39;4;1500;
27;77;107;4;1500;
28;74;91;3;600;
29;62;76;4;1500;
30;106;65;4;1500;
31;84;18;4;1500;
32;122;101;3;600;
33;72;95;5;1500;
34;62;16;3;600;
35;21;37;5;1500;
36;123;113;4;1500;
37;12;122;6;3000;
38;28;59;5;1500;
39;122;101;6;3000;
40;67;60;3;600;
41;68;57;3;600;
42;33;64;6;3000;
43;115;100;3;600;
44;119;97;6;3000;
45;88;53;6;3000;
46;30;111;6;3000;
47;79;123;4;1500;
48;94;86;6;3000;
49;121;83;6;3000;
50;28;25;5;1500;
51;72;93;5;1500;
52;93;61;4;1500;
53;84;111;3;600;
54;92;105;3;600;
55;116;68;4;1500;
56;51;98;6;3000;
57;95;52;4;1500;
58;12;22;6;3000;
59;111;78;4;1500;
60;123;105;5;1500;
61;69;52;5;1500;
62;68;20;5;1500;
63;5;39;3;600;
64;46;122;3;600;
65;103;108;4;1500;
66;124;89;4;1500;
67;63;12;5;1500;
68;85;10;5;1500;
69;67;14;5;1500;
70;77;17;4;1500;
71;83;22;3;600;
72;15;63;5;1500;
73;111;44;6;3000;
74;27;23;5;1500;
75;40;45;3;600;
76;41;44;3;600;
77;62;107;6;3000;
78;97;3;3;600;
79;111;5;5;1500;
80;113;81;5;1500;
81;71;99;6;3000;
82;3;113;4;1500;
83;5;35;4;1500;
84;64;62;6;3000;
85;42;37;6;3000;
86;38;77;5;1500;
87;119;15;3;600;
88;22;47;5;1500;
89;59;33;5;1500;
90;45;82;5;1500;
91;107;88;3;600;
92;28;94;6;3000;
93;116;10;3;600;
94;59;108;4;1500;
95;106;38;6;3000;
96;70;59;4;1500;
97;37;53;4;1500;
98;67;33;5;1500;
99;114;16;4;1500;
100;10;22;5;1500;
101;79;109;6;3000;
102;122;14;6;3000;
103;38;65;4;1500;
104;114;60;3;600;
105;79;101;4;1500;
106;58;46;6;3000;
107;77;21;3;600;
108;27;70;6;3000;
109;63;93;4;1500;
110;95;90;5;1500;
