index;source;destination;slots;max_length
1;6;3;4;1500
2;5;7;5;1500
3;1;6;5;1500
4;2;8;4;1500
5;4;3;6;600
6;7;1;5;1500
7;7;6;6;600
8;4;8;3;3000
9;1;5;3;3000
10;7;6;3;3000
11;3;5;3;3000
12;1;7;6;600
13;6;1;3;3000
14;4;5;4;1500
15;4;3;4;1500
16;6;5;6;600
17;4;1;3;3000
18;3;2;4;1500
19;8;5;5;1500
20;3;4;5;1500
21;3;9;5;1500
22;1;2;4;1500
23;7;1;5;1500
24;1;7;3;3000
25;4;5;3;3000
26;4;3;6;600
27;5;2;3;3000
28;6;8;5;1500
29;3;4;6;600
30;9;1;5;1500
31;1;3;5;1500
32;4;3;5;1500
33;9;6;5;1500
34;9;1;5;1500
35;2;8;4;1500
36;9;2;5;1500
37;3;9;5;1500
38;1;5;5;1500
39;9;8;6;600
40;4;5;3;3000
41;1;3;3;3000
42;1;9;4;1500
43;2;9;5;1500
44;8;4;3;3000
45;7;8;4;1500
46;7;1;4;1500
47;3;8;5;1500
48;8;4;6;600
49;9;3;3;3000
50;7;6;3;3000
51;6;4;6;600
52;2;4;4;1500
53;3;8;5;1500
54;9;8;6;600
55;4;5;6;600
56;2;1;5;1500
57;6;9;5;1500
58;3;6;3;3000
59;9;2;6;600
60;3;2;5;1500
61;8;2;4;1500
62;7;4;4;1500
63;8;7;5;1500
64;5;1;3;3000
65;4;6;5;1500
66;3;1;4;1500
67;3;1;3;3000
68;5;3;6;600
69;1;7;6;600
70;5;8;3;3000
71;2;5;3;3000
72;3;1;5;1500
73;5;8;3;3000
74;6;5;6;600
75;6;4;3;3000
76;8;4;3;3000
77;6;3;5;1500
78;5;4;5;1500
79;8;9;3;3000
80;9;2;6;600
81;3;1;5;1500
82;9;6;4;1500
83;6;4;4;1500
84;6;5;4;1500
85;9;8;6;600
86;1;2;4;1500
87;5;7;4;1500
88;5;2;5;1500
89;3;8;6;600
90;8;4;6;600
91;3;9;5;1500
92;6;1;5;1500
93;9;3;5;1500
94;9;6;5;1500
95;6;4;5;1500
96;9;5;5;1500
97;7;5;5;1500
98;9;7;3;3000
99;4;6;3;3000
100;7;2;6;600
101;4;1;5;1500
102;6;9;4;1500
103;7;2;5;1500
104;3;2;5;1500
105;4;8;6;600
106;1;9;3;3000
107;1;3;5;1500
108;3;6;3;3000
109;8;5;4;1500
110;5;2;5;1500
111;4;8;6;600
112;1;2;6;600
113;6;9;3;3000
114;8;9;3;3000
115;1;3;4;1500
