Var1;Var2;Var3;Var4;Var5
1;3;5;3;3000
2;7;5;5;1500
3;7;5;5;1500
4;1;9;3;3000
5;2;7;5;1500
6;2;7;5;1500
7;6;1;3;3000
8;9;7;6;600
9;5;1;3;3000
10;8;6;3;3000
11;6;9;6;600
12;9;5;3;3000
13;2;7;3;3000
14;6;2;5;1500
15;6;2;5;1500
16;7;9;6;600
17;3;1;6;600
18;1;6;5;1500
19;7;8;5;1500
20;7;4;6;600
21;9;8;5;1500
22;6;8;6;600
23;6;3;3;3000
24;6;8;5;1500
25;2;3;6;600
26;2;4;6;600
27;3;1;3;3000
28;7;9;5;1500
29;5;2;3;3000
30;4;7;6;600
31;3;1;3;3000
32;8;6;6;600
33;5;7;6;600
34;9;1;5;1500
35;4;3;5;1500
36;4;3;5;1500
37;7;6;5;1500
38;1;6;5;1500
39;6;5;6;600
40;8;3;5;1500
41;8;3;5;1500
42;4;3;3;3000
43;6;1;5;1500
44;6;1;5;1500
45;7;4;3;3000
46;3;4;3;3000
47;4;7;6;600
48;8;1;5;1500
49;2;4;3;3000
50;2;7;3;3000
51;6;2;5;1500
52;2;1;3;3000
53;9;3;5;1500
54;9;3;5;1500
55;4;6;6;600
56;8;4;5;1500
57;3;2;5;1500
58;8;4;3;3000
59;5;7;5;1500
60;6;8;5;1500
61;6;7;3;3000
62;6;8;5;1500
63;4;6;5;1500
64;8;7;6;600
65;1;2;6;600
66;3;4;5;1500
67;3;4;5;1500
68;2;6;3;3000
69;1;4;5;1500
70;1;4;5;1500
71;5;8;6;600
72;5;4;3;3000
73;3;9;3;3000
74;1;7;5;1500
75;9;4;3;3000
76;8;7;3;3000
77;6;3;5;1500
78;6;7;6;600
79;9;6;3;3000
80;5;7;6;600
81;4;1;5;1500
82;8;4;5;1500
83;6;3;5;1500
84;6;7;3;3000
85;1;5;3;3000
86;6;4;5;1500
87;9;2;5;1500
88;4;1;5;1500
89;2;7;3;3000
90;2;1;5;1500
91;2;9;5;1500
92;2;9;5;1500
93;9;6;6;600
94;3;4;3;3000
95;6;1;5;1500
96;9;5;5;1500
97;9;5;5;1500
98;6;1;5;1500
99;6;1;5;1500
100;1;4;5;1500
101;1;4;5;1500
102;5;8;6;600
103;7;9;5;1500
104;1;8;5;1500
105;1;8;5;1500
106;4;3;5;1500
107;6;3;3;3000
108;3;1;3;3000
109;8;2;5;1500
110;8;1;5;1500
111;6;9;5;1500
112;5;9;5;1500
113;1;4;3;3000
114;1;4;5;1500
115;7;6;6;600
116;3;8;5;1500
117;3;8;5;1500
118;1;7;5;1500
119;1;7;5;1500
120;5;6;5;1500
121;8;1;5;1500
122;9;5;3;3000
123;8;4;3;3000
124;2;5;3;3000
125;8;2;5;1500
126;5;9;3;3000
127;2;7;3;3000
128;9;8;6;600
129;2;8;5;1500
130;8;9;3;3000
131;4;9;3;3000
132;9;8;3;3000
133;9;4;3;3000
134;6;7;5;1500
135;6;3;5;1500
136;6;3;5;1500
137;4;2;6;600
138;8;9;5;1500
139;2;6;5;1500
140;5;4;5;1500
141;7;2;3;3000
142;3;8;5;1500
143;3;8;5;1500
144;1;2;5;1500
145;9;8;6;600
146;5;3;3;3000
147;4;7;3;3000
148;8;2;5;1500
149;5;1;5;1500
150;7;4;3;3000
151;7;2;5;1500
152;7;2;5;1500
153;6;4;3;3000
154;3;8;5;1500
155;1;8;5;1500
156;1;7;5;1500
157;3;5;5;1500
158;6;3;5;1500
159;3;4;5;1500
160;3;4;5;1500
161;5;1;5;1500
162;5;2;5;1500
163;7;9;5;1500
164;8;5;3;3000
165;9;5;5;1500
166;9;5;5;1500
167;6;8;5;1500
168;3;4;5;1500
169;7;2;3;3000
170;9;7;3;3000
171;1;3;3;3000
172;8;1;5;1500
173;7;5;6;600
174;4;7;5;1500
175;8;4;5;1500
176;1;5;3;3000
177;1;9;5;1500
178;1;9;5;1500
179;1;6;3;3000
180;9;4;3;3000
181;3;1;5;1500
182;6;7;5;1500
183;6;3;5;1500
184;6;3;5;1500
185;9;2;5;1500
186;9;2;5;1500
187;5;9;3;3000
188;8;6;6;600
189;8;2;5;1500
190;1;5;3;3000
191;3;6;5;1500
192;3;6;5;1500
193;2;1;3;3000
194;3;5;5;1500
195;9;6;3;3000
196;8;9;5;1500
197;7;9;6;600
198;5;1;5;1500
199;5;1;5;1500
200;4;3;3;3000
201;2;3;3;3000
202;4;8;5;1500
203;4;8;5;1500
204;1;4;5;1500
205;1;4;5;1500
206;3;4;5;1500
207;3;4;5;1500
208;1;9;5;1500
209;1;9;5;1500
210;1;6;5;1500
211;1;6;5;1500
212;7;8;3;3000
213;6;8;6;600
214;4;2;6;600
215;6;9;6;600
216;3;4;5;1500
217;3;4;5;1500
218;2;5;5;1500
219;2;5;5;1500
220;4;6;5;1500
221;3;7;3;3000
222;3;4;5;1500
223;3;4;5;1500
224;3;8;3;3000
225;5;1;5;1500
226;5;1;5;1500
227;9;5;3;3000
228;6;5;3;3000
229;1;7;5;1500
230;5;8;3;3000
231;7;6;3;3000
232;1;6;5;1500
233;3;1;3;3000
234;1;2;5;1500
235;5;4;6;600
236;8;5;3;3000
237;2;5;5;1500
238;2;5;5;1500
239;5;1;5;1500
240;8;6;6;600
241;4;5;3;3000
242;2;1;3;3000
243;9;4;5;1500
244;2;3;5;1500
245;3;2;6;600
246;1;9;5;1500
247;1;9;5;1500
248;2;7;5;1500
249;2;7;5;1500
250;8;1;5;1500
251;8;1;5;1500
252;7;6;6;600
253;7;5;5;1500
254;9;8;6;600
255;3;5;5;1500
256;6;8;5;1500
257;7;3;3;3000
258;3;4;5;1500
259;3;4;5;1500
260;1;3;5;1500
261;6;9;5;1500
262;9;2;5;1500
263;4;3;3;3000
264;5;9;5;1500
265;5;9;5;1500
266;1;8;5;1500
267;3;4;3;3000
268;4;5;5;1500
269;3;9;3;3000
270;5;7;6;600
271;9;8;3;3000
272;9;2;5;1500
273;2;8;3;3000
274;7;4;3;3000
275;1;9;3;3000
276;5;2;5;1500
277;3;2;5;1500
278;5;1;3;3000
279;3;2;6;600
280;9;3;5;1500
281;9;6;5;1500
282;2;1;5;1500
283;1;3;6;600
284;6;7;5;1500
285;8;2;5;1500
286;1;5;5;1500
287;1;5;5;1500
288;1;2;6;600
289;7;4;5;1500
290;9;3;5;1500
291;9;3;5;1500
292;1;6;3;3000
293;5;9;5;1500
294;4;9;5;1500
295;6;4;5;1500
296;8;9;6;600
297;8;4;3;3000
298;8;2;5;1500
299;8;2;5;1500
300;2;3;3;3000
301;2;1;3;3000
302;6;5;5;1500
303;6;9;3;3000
304;1;2;5;1500
305;7;5;6;600
306;8;5;3;3000
307;7;6;6;600
308;2;4;5;1500
309;1;8;3;3000
310;9;2;5;1500
311;7;2;3;3000
312;2;9;3;3000
313;3;4;3;3000
314;8;2;3;3000
315;8;4;5;1500
316;8;4;5;1500
317;8;9;3;3000
318;2;9;5;1500
319;3;1;3;3000
320;5;3;6;600
321;2;3;6;600
322;6;4;5;1500
323;6;9;6;600
324;6;4;3;3000
325;4;8;3;3000
326;4;7;5;1500
327;9;6;5;1500
328;8;1;3;3000
329;1;2;5;1500
330;8;4;5;1500
331;8;4;5;1500
332;7;1;3;3000
333;7;5;5;1500
334;6;3;5;1500
335;1;7;5;1500
336;1;7;5;1500
337;1;4;5;1500
338;1;4;5;1500
339;7;9;5;1500
340;2;6;5;1500
341;2;6;5;1500
342;9;6;5;1500
343;9;2;5;1500
344;9;2;5;1500
345;3;5;6;600
346;2;4;6;600
347;6;5;5;1500
348;7;3;3;3000
349;8;5;3;3000
350;8;9;3;3000
351;6;5;3;3000
352;4;1;3;3000
353;7;9;6;600
354;1;6;5;1500
355;7;3;5;1500
356;2;4;5;1500
357;8;1;3;3000
358;7;6;6;600
359;9;2;3;3000
360;8;4;5;1500
361;8;4;5;1500
362;3;9;5;1500
363;6;8;5;1500
364;6;3;5;1500
365;8;1;3;3000
366;2;6;5;1500
367;5;8;5;1500
368;9;8;6;600
369;3;8;5;1500
370;5;9;5;1500
