index;source;destination;slots;max_length
1;3;5;4;1500
2;1;2;3;3000
3;3;5;6;600
4;1;2;4;1500
5;3;2;6;600
6;2;4;3;3000
7;2;5;3;3000
8;1;2;3;3000
9;4;3;5;1500
10;5;1;6;600
11;5;4;5;1500
12;2;1;4;1500
13;5;3;6;600
14;3;1;3;3000
15;3;5;6;600
16;4;5;5;1500
17;2;3;6;600
18;3;4;5;1500
19;3;2;4;1500
20;2;4;6;600
21;5;4;5;1500
22;1;2;5;1500
23;3;5;3;3000
24;3;1;3;3000
25;5;3;3;3000
26;3;1;5;1500
27;4;3;6;600
28;5;2;6;600
29;1;2;3;3000
30;4;1;6;600
31;3;5;5;1500
32;5;4;4;1500
33;5;4;3;3000
34;2;1;5;1500
35;3;1;3;3000
36;3;5;5;1500
37;4;1;6;600
38;1;2;4;1500
39;1;2;3;3000
40;1;2;6;600
41;4;1;6;600
42;4;1;6;600
43;1;2;3;3000
44;1;2;5;1500
45;4;2;6;600
46;2;5;4;1500
47;3;1;4;1500
48;5;3;5;1500
49;3;1;4;1500
50;2;3;4;1500
51;2;4;3;3000
52;4;5;4;1500
53;2;5;4;1500
54;2;1;6;600
55;1;2;6;600
56;4;5;3;3000
57;3;1;6;600
58;1;2;4;1500
59;5;1;6;600
60;2;1;4;1500
61;2;5;4;1500
62;4;5;3;3000
63;5;4;5;1500
64;2;3;3;3000
65;5;1;3;3000
66;4;2;4;1500
67;5;2;5;1500
68;5;3;5;1500
69;2;5;5;1500
70;5;4;4;1500
71;1;2;3;3000
72;5;1;6;600
73;3;2;5;1500
74;5;1;5;1500
75;5;4;4;1500
76;5;1;3;3000
77;3;2;4;1500
78;3;4;3;3000
79;2;3;6;600
80;2;5;3;3000
81;2;1;5;1500
82;1;2;3;3000
83;2;1;3;3000
84;2;1;5;1500
85;3;2;6;600
86;3;1;3;3000
87;3;1;4;1500
88;1;2;4;1500
89;2;1;6;600
90;2;3;3;3000
91;1;2;4;1500
92;3;1;5;1500
93;3;4;4;1500
94;3;4;5;1500
95;4;1;5;1500
96;4;1;5;1500
97;5;3;3;3000
98;3;5;4;1500
99;5;2;3;3000
100;2;1;4;1500
101;4;5;6;600
102;4;2;5;1500
103;4;2;6;600
104;1;2;4;1500
105;3;1;5;1500
106;4;5;5;1500
107;3;2;4;1500
108;4;2;4;1500
109;1;2;3;3000
110;4;3;6;600
111;3;5;4;1500
112;2;1;5;1500
113;2;5;5;1500
114;5;1;5;1500
115;2;4;4;1500
116;4;1;5;1500
117;4;2;5;1500
118;4;2;4;1500
119;1;2;4;1500
120;2;1;5;1500
121;5;4;6;600
122;4;5;4;1500
123;2;4;3;3000
124;2;5;6;600
125;2;4;3;3000
126;3;5;6;600
127;2;3;3;3000
128;5;1;6;600
129;4;2;3;3000
130;3;1;3;3000
131;2;5;4;1500
132;5;3;5;1500
133;2;3;4;1500
134;5;3;5;1500
135;2;5;4;1500
136;4;1;3;3000
137;5;3;6;600
138;4;3;5;1500
139;2;5;4;1500
140;4;5;6;600
141;2;3;5;1500
142;5;2;6;600
143;3;4;4;1500
144;2;1;6;600
