index;source;destination;slots;max_length
1;5;1;4;1500
2;2;3;6;600
3;4;3;6;600
4;2;3;3;3000
5;4;2;6;600
6;5;2;5;1500
7;1;2;6;600
8;3;5;6;600
9;1;2;4;1500
10;2;1;4;1500
11;4;1;6;600
12;2;1;6;600
13;3;4;6;600
14;3;5;6;600
15;4;2;4;1500
16;1;2;3;3000
17;5;1;6;600
18;1;2;4;1500
19;3;1;4;1500
20;3;4;3;3000
21;2;3;6;600
22;2;5;4;1500
23;5;1;5;1500
24;1;2;4;1500
25;4;5;4;1500
26;1;2;6;600
27;3;5;3;3000
28;4;3;5;1500
29;5;4;5;1500
30;5;3;4;1500
31;3;1;3;3000
32;5;1;5;1500
33;2;1;5;1500
34;2;3;4;1500
35;4;1;4;1500
36;2;4;4;1500
37;2;4;5;1500
38;5;3;4;1500
39;5;1;3;3000
40;1;2;5;1500
41;3;2;3;3000
42;1;2;3;3000
43;4;5;3;3000
44;1;2;3;3000
45;3;5;4;1500
46;3;2;6;600
47;4;2;5;1500
48;2;1;3;3000
49;4;2;6;600
50;4;3;3;3000
51;3;5;4;1500
52;1;2;6;600
53;3;4;6;600
54;4;3;5;1500
55;2;4;3;3000
56;4;3;6;600
57;2;4;5;1500
58;2;1;3;3000
59;2;1;5;1500
60;3;5;4;1500
61;1;2;3;3000
62;3;4;6;600
63;2;3;5;1500
64;3;4;3;3000
65;3;5;5;1500
66;5;1;5;1500
67;3;4;3;3000
68;1;2;3;3000
69;5;4;6;600
70;4;2;3;3000
71;5;3;6;600
72;1;2;6;600
73;2;1;3;3000
74;5;1;4;1500
75;2;4;6;600
76;3;5;3;3000
77;2;1;3;3000
78;3;5;5;1500
79;5;4;6;600
80;1;2;5;1500
81;4;2;6;600
82;1;2;3;3000
83;5;3;4;1500
84;2;3;5;1500
85;1;2;3;3000
86;3;1;6;600
87;1;2;4;1500
88;4;3;4;1500
89;1;2;4;1500
90;3;1;4;1500
91;2;1;6;600
92;5;4;4;1500
93;1;2;5;1500
94;4;1;3;3000
95;3;4;5;1500
96;5;4;5;1500
97;4;1;3;3000
98;5;2;3;3000
99;1;2;5;1500
100;3;2;4;1500
101;5;2;4;1500
102;3;5;6;600
103;5;2;5;1500
104;4;2;5;1500
105;4;1;6;600
106;2;5;4;1500
107;3;1;6;600
108;4;1;6;600
109;1;2;6;600
110;4;5;6;600
111;5;2;4;1500
112;3;4;5;1500
113;4;3;4;1500
114;3;1;5;1500
115;4;5;5;1500
116;3;1;6;600
117;2;5;6;600
118;4;3;4;1500
119;3;1;3;3000
120;2;3;4;1500
121;5;4;6;600
122;3;4;6;600
123;3;1;5;1500
124;5;4;3;3000
125;1;2;6;600
126;4;3;3;3000
127;4;3;4;1500
128;5;4;5;1500
129;3;1;6;600
130;2;3;3;3000
131;2;1;3;3000
132;4;3;4;1500
133;2;4;4;1500
134;5;3;6;600
135;3;1;5;1500
136;2;4;6;600
137;2;3;5;1500
