index;origin;destination;slots;max_reach
1;2;3;6;600
2;6;4;5;1500
3;6;9;6;600
4;6;4;3;3000
5;4;8;3;3000
6;4;7;5;1500
7;9;6;5;1500
8;8;1;3;3000
9;1;2;5;1500
10;8;4;5;1500
11;8;4;5;1500
12;7;1;3;3000
13;7;5;5;1500
14;6;3;5;1500
15;1;7;5;1500
16;1;7;5;1500
17;1;4;5;1500
18;1;4;5;1500
19;7;9;5;1500
20;2;6;5;1500
21;2;6;5;1500
22;9;6;5;1500
23;9;2;5;1500
24;9;2;5;1500
25;3;5;6;600
26;2;4;6;600
27;6;5;5;1500
28;7;3;3;3000
29;8;5;3;3000
30;8;9;3;3000
31;6;5;3;3000
32;4;1;3;3000
33;7;9;6;600
34;1;6;5;1500
35;7;3;5;1500
36;2;4;5;1500
37;8;1;3;3000
38;7;6;6;600
39;9;2;3;3000
40;8;4;5;1500
