index;origin;destination;slots;max_reach
1;8;1;5;1500
2;9;5;3;3000
3;8;4;3;3000
4;2;5;3;3000
5;8;2;5;1500
6;5;9;3;3000
7;2;7;3;3000
8;9;8;6;600
9;2;8;5;1500
10;8;9;3;3000
11;4;9;3;3000
12;9;8;3;3000
13;9;4;3;3000
14;6;7;5;1500
15;6;3;5;1500
16;6;3;5;1500
17;4;2;6;600
18;8;9;5;1500
19;2;6;5;1500
20;5;4;5;1500
21;7;2;3;3000
22;3;8;5;1500
23;3;8;5;1500
24;1;2;5;1500
25;9;8;6;600
26;5;3;3;3000
27;4;7;3;3000
28;8;2;5;1500
29;5;1;5;1500
30;7;4;3;3000
31;7;2;5;1500
32;7;2;5;1500
33;6;4;3;3000
34;3;8;5;1500
35;1;8;5;1500
36;1;7;5;1500
37;3;5;5;1500
38;6;3;5;1500
39;3;4;5;1500
40;3;4;5;1500
