index;origin;destination;slots;max_reach;mode;spacing;path_bandwidth
1;3;5;4;1500;3;7.50E+10;4.00E+11
2;2;4;3;3000;3;7.50E+10;4.00E+11
3;2;3;3;3000;2;6.25E+10;2.00E+11
4;1;2;5;1500;3;7.50E+10;4.00E+11
5;1;2;6;600;2;6.25E+10;2.00E+11
6;3;5;4;1500;3;7.50E+10;4.00E+11
7;4;5;6;600;2;6.25E+10;2.00E+11
8;3;1;6;600;3;7.50E+10;4.00E+11
9;5;4;3;3000;2;6.25E+10;2.00E+11
10;2;5;5;1500;1;3.75E+10;1.00E+11
11;3;1;6;600;1;3.75E+10;1.00E+11
12;2;4;6;600;1;3.75E+10;1.00E+11
13;3;2;3;3000;1;3.75E+10;1.00E+11
14;2;3;3;3000;1;3.75E+10;1.00E+11
15;2;5;4;1500;1;3.75E+10;1.00E+11
16;2;5;4;1500;1;3.75E+10;1.00E+11
17;4;5;3;3000;2;3.75E+10;1.00E+11
18;2;3;6;600;3;3.75E+10;1.00E+11
19;5;4;3;3000;3;3.75E+10;1.00E+11
20;5;2;6;600;3;3.75E+10;1.00E+11
21;5;3;4;1500;3;3.75E+10;1.00E+11
22;4;5;5;1500;3;3.75E+10;1.00E+11
23;2;1;6;600;3;3.75E+10;1.00E+11
24;4;5;3;3000;3;3.75E+10;1.00E+11
25;5;2;6;600;3;3.75E+10;1.00E+11
